250
9
Frame	CH1	CH2	CH3	CH4	CH5	CH6	CH7	CH8
32	187500	187500	26537.01953125	22203.1953125	187500	187500	187500	187500
33	187500	187500	26656.376953125	22074.314453125	187500	187500	187500	187500
34	187500	187500	26995.564453125	22480.111328125	187500	187500	187500	187500
35	187500	187500	26913.244140625	22655.013671875	187500	187500	187500	187500
36	187500	187500	26546.51953125	22267.791015625	187500	187500	187500	187500
37	187500	187500	26579.0859375	22041.48046875	187500	187500	187500	187500
38	187500	187500	26919.390625	22382.34375	187500	187500	187500	187500
39	187500	187500	26930.25390625	22639.880859375	187500	187500	187500	187500
40	187500	187500	26571.150390625	22331.626953125	187500	187500	187500	187500
41	187500	187500	26484.939453125	22005.404296875	187500	187500	187500	187500
42	187500	187500	26833.24609375	22278.162109375	187500	187500	187500	187500
43	187500	187500	26948.291015625	22616.701171875	187500	187500	187500	187500
44	187500	187500	26633.802734375	22405.12109375	187500	187500	187500	187500
45	187500	187500	26487.130859375	22035.892578125	187500	187500	187500	187500
46	187500	187500	26807.9453125	22219.84765625	187500	187500	187500	187500
47	187500	187500	26992.546875	22601.32421875	187500	187500	187500	187500
48	187500	187500	26723.142578125	22481.7421875	187500	187500	187500	187500
49	187500	187500	26518.736328125	22082.2265625	187500	187500	187500	187500
50	187500	187500	26770.86328125	22167.341796875	187500	187500	187500	187500
51	187500	187500	27023.4375	22589.58984375	187500	187500	187500	187500
52	187500	187500	26809.28515625	22575.775390625	187500	187500	187500	187500
53	187500	187500	26522.84765625	22143.515625	187500	187500	187500	187500
54	187500	187500	26712.48046875	22111.126953125	187500	187500	187500	187500
55	187500	187500	27026.74609375	22543.880859375	187500	187500	187500	187500
56	187500	187500	26889.1484375	22631.87890625	187500	187500	187500	187500
57	187500	187500	26563.416015625	22212.203125	187500	187500	187500	187500
58	187500	187500	26670.59375	22077.01953125	187500	187500	187500	187500
59	187500	187500	27020.689453125	22476.84765625	187500	187500	187500	187500
60	187500	187500	26966.619140625	22657.314453125	187500	187500	187500	187500
61	187500	187500	26614.646484375	22281.314453125	187500	187500	187500	187500
62	187500	187500	26627.72265625	22044.251953125	187500	187500	187500	187500
63	187500	187500	26999.767578125	22396.42578125	187500	187500	187500	187500
64	187500	187500	27040.537109375	22669.65234375	187500	187500	187500	187500
65	187500	187500	26705.505859375	22373.3359375	187500	187500	187500	187500
66	187500	187500	26629.421875	22050.77734375	187500	187500	187500	187500
67	187500	187500	26978.779296875	22327.806640625	187500	187500	187500	187500
68	187500	187500	27101.021484375	22679.287109375	187500	187500	187500	187500
69	187500	187500	26783.916015625	22463.994140625	187500	187500	187500	187500
70	187500	187500	26631.96875	22075.455078125	187500	187500	187500	187500
71	187500	187500	26953.544921875	22255.20703125	187500	187500	187500	187500
72	187500	187500	27162.17578125	22658.767578125	187500	187500	187500	187500
73	187500	187500	26899.341796875	22548.685546875	187500	187500	187500	187500
74	187500	187500	26661.876953125	22114.302734375	187500	187500	187500	187500
75	187500	187500	26900.078125	22179.45703125	187500	187500	187500	187500
76	187500	187500	27172.546875	22620.880859375	187500	187500	187500	187500
77	187500	187500	26972.72265625	22616.34375	187500	187500	187500	187500
78	187500	187500	26678.841796875	22170.3828125	187500	187500	187500	187500
79	187500	187500	26855.017578125	22124.001953125	187500	187500	187500	187500
80	187500	187500	27174.333984375	22560.017578125	187500	187500	187500	187500
81	187500	187500	27037.20703125	22655.90625	187500	187500	187500	187500
82	187500	187500	26701.974609375	22239.62890625	187500	187500	187500	187500
83	187500	187500	26801.931640625	22089.78125	187500	187500	187500	187500
84	187500	187500	27152.609375	22496.650390625	187500	187500	187500	187500
85	187500	187500	27108.955078125	22698.62109375	187500	187500	187500	187500
86	187500	187500	26758.435546875	22327.470703125	187500	187500	187500	187500
87	187500	187500	26763.44140625	22081.66796875	187500	187500	187500	187500
88	187500	187500	27119.505859375	22429.55078125	187500	187500	187500	187500
89	187500	187500	27163.94140625	22714.53515625	187500	187500	187500	187500
90	187500	187500	26826.4296875	22417.66015625	187500	187500	187500	187500
91	187500	187500	26743.638671875	22088.642578125	187500	187500	187500	187500
92	187500	187500	27082.2890625	22367.904296875	187500	187500	187500	187500
93	187500	187500	27203.32421875	22727.87890625	187500	187500	187500	187500
94	187500	187500	26886.599609375	22508.384765625	187500	187500	187500	187500
95	187500	187500	26711.98828125	22110.61328125	187500	187500	187500	187500
96	187500	187500	27012.6875	22290.142578125	187500	187500	187500	187500
97	187500	187500	27200.6875	22694.1953125	187500	187500	187500	187500
98	187500	187500	26932.154296875	22579.642578125	187500	187500	187500	187500
99	187500	187500	26704.0546875	22153.908203125	187500	187500	187500	187500
100	187500	187500	26968.33984375	22234.2421875	187500	187500	187500	187500
101	187500	187500	27230.974609375	22661.2265625	187500	187500	187500	187500
102	187500	187500	27007.904296875	22645.490234375	187500	187500	187500	187500
103	187500	187500	26696.611328125	22206.369140625	187500	187500	187500	187500
104	187500	187500	26866.86328125	22169.376953125	187500	187500	187500	187500
105	187500	187500	27173.6640625	22596.787109375	187500	187500	187500	187500
106	187500	187500	27039.978515625	22686.751953125	187500	187500	187500	187500
107	187500	187500	26698.82421875	22269.51171875	187500	187500	187500	187500
108	187500	187500	26799.830078125	22140.609375	187500	187500	187500	187500
109	187500	187500	27140.560546875	22540.3046875	187500	187500	187500	187500
110	187500	187500	27078.333984375	22722.0234375	187500	187500	187500	187500
111	187500	187500	26731.099609375	22353.599609375	187500	187500	187500	187500
112	187500	187500	26745.896484375	22116.626953125	187500	187500	187500	187500
113	187500	187500	27090.8515625	22459.189453125	187500	187500	187500	187500
114	187500	187500	27122.947265625	22740.12890625	187500	187500	187500	187500
115	187500	187500	26777.92578125	22440.16796875	187500	187500	187500	187500
116	187500	187500	26692.36328125	22110.412109375	187500	187500	187500	187500
