250
9
Frame	CH1	CH2	CH3	CH4	CH5	CH6	CH7	CH8
78	187500	187500	-7487.96826171875	-7171.0654296875	187500	187500	187500	187500
79	187500	187500	-7490.40478515625	-7177.79345703125	187500	187500	187500	187500
80	187500	187500	-7490.4716796875	-7180.52001953125	187500	187500	187500	187500
81	187500	187500	-7494.96435546875	-7183.0458984375	187500	187500	187500	187500
82	187500	187500	-7499.904296875	-7187.73974609375	187500	187500	187500	187500
83	187500	187500	-7494.58447265625	-7185.884765625	187500	187500	187500	187500
84	187500	187500	-7490.1591796875	-7182.21875	187500	187500	187500	187500
85	187500	187500	-7492.01416015625	-7183.26953125	187500	187500	187500	187500
86	187500	187500	-7496.328125	-7185.12451171875	187500	187500	187500	187500
87	187500	187500	-7494.47265625	-7184.96826171875	187500	187500	187500	187500
88	187500	187500	-7495.478515625	-7188.298828125	187500	187500	187500	187500
89	187500	187500	-7495.5234375	-7185.83984375	187500	187500	187500	187500
90	187500	187500	-7492.55078125	-7184.16357421875	187500	187500	187500	187500
91	187500	187500	-7496.41748046875	-7188.701171875	187500	187500	187500	187500
92	187500	187500	-7494.3388671875	-7187.40478515625	187500	187500	187500	187500
93	187500	187500	-7491.05322265625	-7183.53759765625	187500	187500	187500	187500
94	187500	187500	-7484.6826171875	-7177.94970703125	187500	187500	187500	187500
95	187500	187500	-7482.38037109375	-7180.14013671875	187500	187500	187500	187500
96	187500	187500	-7486.22509765625	-7184.72216796875	187500	187500	187500	187500
97	187500	187500	-7492.751953125	-7191.8525390625	187500	187500	187500	187500
98	187500	187500	-7498.85400390625	-7194.37841796875	187500	187500	187500	187500
99	187500	187500	-7496.57373046875	-7191.80810546875	187500	187500	187500	187500
100	187500	187500	-7494.47265625	-7189.70703125	187500	187500	187500	187500
101	187500	187500	-7489.01904296875	-7184.23046875	187500	187500	187500	187500
102	187500	187500	-7484.63818359375	-7180.0283203125	187500	187500	187500	187500
103	187500	187500	-7487.07421875	-7183.0234375	187500	187500	187500	187500
104	187500	187500	-7487.521484375	-7186.33154296875	187500	187500	187500	187500
105	187500	187500	-7487.5439453125	-7186.890625	187500	187500	187500	187500
106	187500	187500	-7486.7392578125	-7182.7109375	187500	187500	187500	187500
107	187500	187500	-7491.03076171875	-7183.873046875	187500	187500	187500	187500
108	187500	187500	-7494.673828125	-7189.662109375	187500	187500	187500	187500
109	187500	187500	-7498.09375	-7193.283203125	187500	187500	187500	187500
110	187500	187500	-7497.64697265625	-7190.265625	187500	187500	187500	187500
111	187500	187500	-7495.00927734375	-7191.31591796875	187500	187500	187500	187500
112	187500	187500	-7494.361328125	-7189.93017578125	187500	187500	187500	187500
113	187500	187500	-7495.9482421875	-7186.8232421875	187500	187500	187500	187500
114	187500	187500	-7499.77001953125	-7188.92431640625	187500	187500	187500	187500
115	187500	187500	-7497.3115234375	-7190.77978515625	187500	187500	187500	187500
116	187500	187500	-7495.12109375	-7190.466796875	187500	187500	187500	187500
117	187500	187500	-7488.7509765625	-7184.0517578125	187500	187500	187500	187500
118	187500	187500	-7486.873046875	-7181.14599609375	187500	187500	187500	187500
119	187500	187500	-7488.79541015625	-7180.3193359375	187500	187500	187500	187500
120	187500	187500	-7490.1142578125	-7180.52001953125	187500	187500	187500	187500
121	187500	187500	-7493.3330078125	-7189.05859375	187500	187500	187500	187500
122	187500	187500	-7496.79736328125	-7190.80224609375	187500	187500	187500	187500
123	187500	187500	-7494.18212890625	-7188.54443359375	187500	187500	187500	187500
124	187500	187500	-7492.64013671875	-7188.857421875	187500	187500	187500	187500
125	187500	187500	-7498.38427734375	-7195.60791015625	187500	187500	187500	187500
