time,value,date
00:27:36,77,2022-03-23
00:27:46,78,2022-03-23
00:28:01,78,2022-03-23
00:28:16,77,2022-03-23
00:28:21,77,2022-03-23
00:28:26,76,2022-03-23
00:28:41,76,2022-03-23
00:28:46,76,2022-03-23
00:28:56,77,2022-03-23
00:29:06,78,2022-03-23
00:29:21,78,2022-03-23
00:29:36,78,2022-03-23
00:29:41,76,2022-03-23
00:29:46,75,2022-03-23
00:29:51,75,2022-03-23
00:29:56,76,2022-03-23
00:30:01,77,2022-03-23
00:30:06,77,2022-03-23
00:30:21,78,2022-03-23
00:30:26,79,2022-03-23
00:30:31,78,2022-03-23
00:30:36,79,2022-03-23
00:30:46,79,2022-03-23
00:30:56,78,2022-03-23
00:31:01,78,2022-03-23
00:31:06,77,2022-03-23
00:31:11,76,2022-03-23
00:31:16,76,2022-03-23
00:31:26,77,2022-03-23
00:31:41,77,2022-03-23
00:31:46,78,2022-03-23
00:31:51,78,2022-03-23
00:31:56,79,2022-03-23
00:32:11,79,2022-03-23
00:32:21,79,2022-03-23
00:32:26,80,2022-03-23
00:32:36,79,2022-03-23
00:32:41,77,2022-03-23
00:32:46,76,2022-03-23
00:32:51,76,2022-03-23
00:32:56,75,2022-03-23
00:33:01,75,2022-03-23
00:33:11,75,2022-03-23
00:33:16,74,2022-03-23
00:33:21,73,2022-03-23
00:33:26,75,2022-03-23
00:33:36,75,2022-03-23
00:33:46,76,2022-03-23
00:33:51,78,2022-03-23
00:33:56,77,2022-03-23
00:34:01,75,2022-03-23
00:34:16,74,2022-03-23
00:34:21,73,2022-03-23
00:34:26,75,2022-03-23
00:34:31,75,2022-03-23
00:34:36,74,2022-03-23
00:34:46,74,2022-03-23
00:34:51,75,2022-03-23
00:34:56,76,2022-03-23
00:35:06,77,2022-03-23
00:35:11,77,2022-03-23
00:35:16,75,2022-03-23
00:35:26,74,2022-03-23
00:35:36,74,2022-03-23
00:35:46,75,2022-03-23
00:36:01,74,2022-03-23
00:36:16,75,2022-03-23
00:36:21,74,2022-03-23
00:36:26,73,2022-03-23
00:36:31,72,2022-03-23
00:36:41,72,2022-03-23
00:36:46,73,2022-03-23
00:36:51,74,2022-03-23
00:37:01,75,2022-03-23
00:37:06,73,2022-03-23
00:37:16,74,2022-03-23
00:37:21,75,2022-03-23
00:37:31,75,2022-03-23
00:37:36,74,2022-03-23
00:37:41,73,2022-03-23
00:37:46,74,2022-03-23
00:37:56,75,2022-03-23
00:38:01,76,2022-03-23
00:38:16,75,2022-03-23
00:38:26,77,2022-03-23
00:38:31,80,2022-03-23
00:38:36,81,2022-03-23
00:38:41,82,2022-03-23
00:38:46,85,2022-03-23
00:38:51,83,2022-03-23
00:38:56,82,2022-03-23
00:39:06,82,2022-03-23
00:39:11,80,2022-03-23
00:39:21,80,2022-03-23
00:39:36,81,2022-03-23
00:39:41,83,2022-03-23
00:39:46,84,2022-03-23
00:39:51,83,2022-03-23
00:39:56,82,2022-03-23
00:40:06,85,2022-03-23
00:40:11,83,2022-03-23
00:40:16,81,2022-03-23
00:40:21,82,2022-03-23
00:40:26,79,2022-03-23
00:40:31,78,2022-03-23
00:40:36,79,2022-03-23
00:40:41,78,2022-03-23
00:40:51,79,2022-03-23
00:40:56,79,2022-03-23
00:41:01,80,2022-03-23
00:41:06,79,2022-03-23
00:41:11,78,2022-03-23
00:41:16,79,2022-03-23
00:41:31,79,2022-03-23
00:41:36,79,2022-03-23
00:41:41,80,2022-03-23
00:41:46,81,2022-03-23
