time,value,date
00:22:18,77,2022-03-23
00:22:23,73,2022-03-23
00:22:28,71,2022-03-23
00:22:33,72,2022-03-23
00:22:38,73,2022-03-23
00:22:43,75,2022-03-23
00:22:48,76,2022-03-23
00:22:53,75,2022-03-23
00:22:58,74,2022-03-23
00:23:08,75,2022-03-23
00:23:13,76,2022-03-23
00:23:18,78,2022-03-23
00:23:23,80,2022-03-23
00:23:28,79,2022-03-23
00:23:33,76,2022-03-23
00:23:38,73,2022-03-23
00:23:43,75,2022-03-23
00:23:48,77,2022-03-23
00:23:53,79,2022-03-23
00:23:58,80,2022-03-23
00:24:03,79,2022-03-23
00:24:08,80,2022-03-23
00:24:13,81,2022-03-23
00:24:18,79,2022-03-23
00:24:23,78,2022-03-23
00:24:33,80,2022-03-23
00:24:38,81,2022-03-23
00:24:43,83,2022-03-23
00:24:48,84,2022-03-23
00:24:53,84,2022-03-23
00:24:58,80,2022-03-23
00:25:03,79,2022-03-23
00:25:08,78,2022-03-23
00:25:13,77,2022-03-23
00:25:23,75,2022-03-23
00:25:28,75,2022-03-23
00:25:38,75,2022-03-23
00:25:48,72,2022-03-23
00:25:53,70,2022-03-23
00:26:03,71,2022-03-23
00:26:08,72,2022-03-23
00:26:13,74,2022-03-23
00:26:18,75,2022-03-23
00:26:23,79,2022-03-23
00:26:28,82,2022-03-23
00:26:33,81,2022-03-23
00:26:38,80,2022-03-23
00:26:48,81,2022-03-23
00:26:53,77,2022-03-23
00:26:58,76,2022-03-23
00:27:03,75,2022-03-23
00:27:08,76,2022-03-23
00:27:13,77,2022-03-23
00:27:18,79,2022-03-23
00:27:23,80,2022-03-23
00:27:28,81,2022-03-23
00:27:33,82,2022-03-23
00:27:38,83,2022-03-23
00:27:43,87,2022-03-23
00:27:48,86,2022-03-23
00:27:53,81,2022-03-23
00:27:58,79,2022-03-23
00:28:03,81,2022-03-23
00:28:08,83,2022-03-23
00:28:13,84,2022-03-23
00:28:18,87,2022-03-23
00:28:23,92,2022-03-23
00:28:33,94,2022-03-23
00:28:43,85,2022-03-23
00:28:48,83,2022-03-23
00:28:53,80,2022-03-23
00:28:58,77,2022-03-23
00:29:03,76,2022-03-23
00:29:13,77,2022-03-23
00:29:18,78,2022-03-23
00:29:23,77,2022-03-23
00:29:28,78,2022-03-23
00:29:38,79,2022-03-23
00:29:43,81,2022-03-23
00:29:48,82,2022-03-23
00:30:03,82,2022-03-23
00:30:08,81,2022-03-23
00:30:13,79,2022-03-23
00:30:18,76,2022-03-23
00:30:23,75,2022-03-23
00:30:33,77,2022-03-23
00:30:38,78,2022-03-23
00:30:43,79,2022-03-23
00:30:48,80,2022-03-23
00:30:53,81,2022-03-23
00:30:58,82,2022-03-23
00:31:03,80,2022-03-23
00:31:08,76,2022-03-23
00:31:13,73,2022-03-23
00:31:28,73,2022-03-23
00:31:33,74,2022-03-23
00:31:38,72,2022-03-23
00:31:43,72,2022-03-23
00:31:48,73,2022-03-23
00:31:58,74,2022-03-23
00:32:13,73,2022-03-23
00:32:18,75,2022-03-23
00:32:23,81,2022-03-23
00:32:28,84,2022-03-23
00:32:33,87,2022-03-23
00:32:38,90,2022-03-23
00:32:53,85,2022-03-23
00:32:58,75,2022-03-23
00:33:08,74,2022-03-23
00:33:13,78,2022-03-23
00:33:28,77,2022-03-23
00:33:33,80,2022-03-23
00:33:38,79,2022-03-23
00:33:48,74,2022-03-23
00:33:53,74,2022-03-23
00:33:58,75,2022-03-23
00:34:03,75,2022-03-23
00:34:08,74,2022-03-23
00:34:13,75,2022-03-23
00:34:28,76,2022-03-23
00:34:33,77,2022-03-23
00:34:38,78,2022-03-23
00:34:43,79,2022-03-23
00:34:48,79,2022-03-23
00:34:53,79,2022-03-23
00:34:58,80,2022-03-23
00:35:08,80,2022-03-23
00:35:13,81,2022-03-23
00:35:23,82,2022-03-23
00:35:28,83,2022-03-23
00:35:33,82,2022-03-23
00:35:38,78,2022-03-23
00:35:43,81,2022-03-23
00:35:48,75,2022-03-23
00:35:53,74,2022-03-23
00:35:58,75,2022-03-23
00:36:03,74,2022-03-23
00:36:08,77,2022-03-23
00:36:13,79,2022-03-23
00:36:23,76,2022-03-23
00:36:28,79,2022-03-23
00:36:38,76,2022-03-23
00:36:43,73,2022-03-23
00:36:48,72,2022-03-23
00:36:53,72,2022-03-23
00:36:58,73,2022-03-23
00:37:03,75,2022-03-23
00:37:08,75,2022-03-23
00:37:13,73,2022-03-23
00:37:18,71,2022-03-23
00:37:23,71,2022-03-23
00:37:28,71,2022-03-23
00:37:33,72,2022-03-23
00:37:38,72,2022-03-23
00:37:43,72,2022-03-23
00:37:48,71,2022-03-23
00:37:53,70,2022-03-23
00:37:58,72,2022-03-23
00:38:03,74,2022-03-23
00:38:18,73,2022-03-23
00:38:23,74,2022-03-23
00:38:38,74,2022-03-23
00:38:48,72,2022-03-23
00:38:53,72,2022-03-23
00:38:58,73,2022-03-23
00:39:03,76,2022-03-23
00:39:08,78,2022-03-23
00:39:13,75,2022-03-23
00:39:18,71,2022-03-23
00:39:23,70,2022-03-23
00:39:28,72,2022-03-23
00:39:33,72,2022-03-23
00:39:38,71,2022-03-23
00:39:43,70,2022-03-23
00:39:48,71,2022-03-23
00:39:53,72,2022-03-23
00:39:58,73,2022-03-23
00:40:03,73,2022-03-23
00:40:13,75,2022-03-23
00:40:23,76,2022-03-23
00:40:28,77,2022-03-23
00:40:43,76,2022-03-23
00:40:53,76,2022-03-23
00:40:58,77,2022-03-23
00:41:03,78,2022-03-23
00:41:08,79,2022-03-23
00:41:13,77,2022-03-23
00:41:18,76,2022-03-23
00:41:23,75,2022-03-23
00:41:33,78,2022-03-23
00:41:38,81,2022-03-23
00:41:43,79,2022-03-23
00:41:48,76,2022-03-23
00:41:53,73,2022-03-23
00:41:58,73,2022-03-23
00:42:08,77,2022-03-23
00:42:13,79,2022-03-23
00:42:18,81,2022-03-23
00:42:23,83,2022-03-23
00:42:38,82,2022-03-23
00:42:43,81,2022-03-23
00:42:48,80,2022-03-23
00:42:53,78,2022-03-23
00:42:58,74,2022-03-23
00:43:03,72,2022-03-23
00:43:08,72,2022-03-23
00:43:13,71,2022-03-23
00:43:28,74,2022-03-23
00:43:33,75,2022-03-23
00:43:38,76,2022-03-23
00:43:43,77,2022-03-23
00:43:48,79,2022-03-23
00:43:53,82,2022-03-23
00:43:58,86,2022-03-23
00:44:03,86,2022-03-23
00:44:08,83,2022-03-23
00:44:13,77,2022-03-23
00:44:18,73,2022-03-23
00:44:23,73,2022-03-23
00:44:33,72,2022-03-23
00:44:43,71,2022-03-23
00:44:53,72,2022-03-23
00:44:58,73,2022-03-23
00:45:03,72,2022-03-23
00:45:13,74,2022-03-23
00:45:18,76,2022-03-23
00:45:23,77,2022-03-23
00:45:38,78,2022-03-23
00:45:43,77,2022-03-23
00:45:48,73,2022-03-23
00:45:53,71,2022-03-23
00:45:58,67,2022-03-23
00:46:03,69,2022-03-23
00:46:08,70,2022-03-23
00:46:18,71,2022-03-23
00:46:23,72,2022-03-23
00:46:28,73,2022-03-23
00:46:43,75,2022-03-23
00:46:48,79,2022-03-23
00:46:53,80,2022-03-23
00:46:58,83,2022-03-23
00:47:03,84,2022-03-23
00:47:08,82,2022-03-23
00:47:13,80,2022-03-23
00:47:18,78,2022-03-23
00:47:23,75,2022-03-23
00:47:33,75,2022-03-23
00:47:38,73,2022-03-23
00:47:43,73,2022-03-23
00:47:48,73,2022-03-23
00:47:58,76,2022-03-23
00:48:03,75,2022-03-23
00:48:08,78,2022-03-23
00:48:13,77,2022-03-23
00:48:18,76,2022-03-23
00:48:23,76,2022-03-23
00:48:28,77,2022-03-23
00:48:33,78,2022-03-23
00:48:38,79,2022-03-23
00:48:43,78,2022-03-23
00:48:48,76,2022-03-23
00:48:53,75,2022-03-23
00:49:03,76,2022-03-23
00:49:08,79,2022-03-23
00:49:13,80,2022-03-23
00:49:18,78,2022-03-23
00:49:23,84,2022-03-23
00:49:28,82,2022-03-23
00:49:33,80,2022-03-23
00:49:38,79,2022-03-23
00:49:48,83,2022-03-23
00:49:53,85,2022-03-23
00:49:58,88,2022-03-23
00:50:03,91,2022-03-23
00:50:18,92,2022-03-23
00:50:23,90,2022-03-23
00:50:38,90,2022-03-23
00:50:43,91,2022-03-23
00:50:48,92,2022-03-23
00:50:53,93,2022-03-23
00:51:03,96,2022-03-23
00:51:08,94,2022-03-23
00:51:13,95,2022-03-23
00:51:23,93,2022-03-23
00:51:28,94,2022-03-23
00:51:33,90,2022-03-23
00:51:38,92,2022-03-23
00:51:43,86,2022-03-23
00:51:48,85,2022-03-23
00:51:53,84,2022-03-23
00:51:58,86,2022-03-23
00:52:03,91,2022-03-23
00:52:08,89,2022-03-23
00:52:13,93,2022-03-23
00:52:18,94,2022-03-23
00:52:23,93,2022-03-23
00:52:28,91,2022-03-23
00:52:33,89,2022-03-23
00:52:38,88,2022-03-23
00:52:43,86,2022-03-23
00:52:48,87,2022-03-23
00:52:53,88,2022-03-23
00:52:58,89,2022-03-23
00:53:13,87,2022-03-23
00:53:28,87,2022-03-23
00:53:38,88,2022-03-23
00:53:48,87,2022-03-23
00:53:53,86,2022-03-23
00:53:58,89,2022-03-23
00:54:03,88,2022-03-23
00:54:13,89,2022-03-23
00:54:18,91,2022-03-23
00:54:23,92,2022-03-23
00:54:33,93,2022-03-23
00:54:38,92,2022-03-23
00:54:43,89,2022-03-23
00:54:48,88,2022-03-23
00:55:03,88,2022-03-23
00:55:18,90,2022-03-23
00:55:28,89,2022-03-23
00:55:33,94,2022-03-23
00:55:43,100,2022-03-23
00:55:53,103,2022-03-23
00:55:58,104,2022-03-23
00:56:03,99,2022-03-23
00:56:08,101,2022-03-23
00:56:13,102,2022-03-23
00:56:18,109,2022-03-23
00:56:23,105,2022-03-23
00:56:28,97,2022-03-23
00:56:33,91,2022-03-23
00:56:43,92,2022-03-23
00:56:48,87,2022-03-23
00:56:53,80,2022-03-23
00:56:58,78,2022-03-23
00:57:03,77,2022-03-23
00:57:08,77,2022-03-23
00:57:18,78,2022-03-23
00:57:23,76,2022-03-23
00:57:28,76,2022-03-23
00:57:33,77,2022-03-23
00:57:43,78,2022-03-23
00:57:48,77,2022-03-23
00:57:53,75,2022-03-23
00:57:58,72,2022-03-23
00:58:08,73,2022-03-23
00:58:13,72,2022-03-23
00:58:18,72,2022-03-23
00:58:23,71,2022-03-23
00:58:28,70,2022-03-23
00:58:33,72,2022-03-23
00:58:38,76,2022-03-23
00:58:43,78,2022-03-23
00:58:48,77,2022-03-23
00:58:53,76,2022-03-23
00:58:58,72,2022-03-23
00:59:03,68,2022-03-23
00:59:08,70,2022-03-23
00:59:13,72,2022-03-23
00:59:23,71,2022-03-23
00:59:28,70,2022-03-23
00:59:33,67,2022-03-23
00:59:38,66,2022-03-23
00:59:43,68,2022-03-23
00:59:48,69,2022-03-23
00:59:53,70,2022-03-23
00:59:58,70,2022-03-23
01:00:08,71,2022-03-23
01:00:13,73,2022-03-23
01:00:18,74,2022-03-23
01:00:23,74,2022-03-23
01:00:33,73,2022-03-23
01:00:43,74,2022-03-23
01:00:48,73,2022-03-23
01:00:53,72,2022-03-23
01:01:03,71,2022-03-23
01:01:08,70,2022-03-23
01:01:13,70,2022-03-23
01:01:18,72,2022-03-23
01:01:23,77,2022-03-23
01:01:28,80,2022-03-23
01:01:33,83,2022-03-23
01:01:38,76,2022-03-23
01:01:43,71,2022-03-23
01:01:48,69,2022-03-23
01:01:53,67,2022-03-23
01:02:03,68,2022-03-23
01:02:08,69,2022-03-23
01:02:13,70,2022-03-23
01:02:18,71,2022-03-23
01:02:28,70,2022-03-23
01:02:33,68,2022-03-23
01:02:48,68,2022-03-23
01:02:53,69,2022-03-23
01:03:08,70,2022-03-23
01:03:13,71,2022-03-23
01:03:18,72,2022-03-23
01:03:23,73,2022-03-23
01:03:28,74,2022-03-23
01:03:38,76,2022-03-23
01:03:43,78,2022-03-23
01:03:53,75,2022-03-23
01:03:58,74,2022-03-23
01:04:08,73,2022-03-23
01:04:13,71,2022-03-23
01:04:23,72,2022-03-23
01:04:38,72,2022-03-23
01:04:43,75,2022-03-23
01:04:48,81,2022-03-23
01:04:53,83,2022-03-23
01:04:59,79,2022-03-23
01:05:04,76,2022-03-23
01:05:09,72,2022-03-23
01:05:14,69,2022-03-23
01:05:19,69,2022-03-23
01:05:29,70,2022-03-23
01:05:34,71,2022-03-23
01:05:39,71,2022-03-23
01:05:44,69,2022-03-23
01:05:49,67,2022-03-23
01:05:54,66,2022-03-23
01:05:59,68,2022-03-23
01:06:04,67,2022-03-23
01:06:14,66,2022-03-23
01:06:19,65,2022-03-23
01:06:34,65,2022-03-23
01:06:39,69,2022-03-23
01:06:44,73,2022-03-23
01:06:49,72,2022-03-23
01:06:54,71,2022-03-23
01:06:59,69,2022-03-23
01:07:04,65,2022-03-23
01:07:14,66,2022-03-23
01:07:29,68,2022-03-23
01:07:34,69,2022-03-23
01:07:49,69,2022-03-23
01:08:04,70,2022-03-23
01:08:09,70,2022-03-23
01:08:14,68,2022-03-23
01:08:19,67,2022-03-23
01:08:34,67,2022-03-23
01:08:39,66,2022-03-23
01:08:44,67,2022-03-23
01:08:49,68,2022-03-23
01:08:59,68,2022-03-23
01:09:09,67,2022-03-23
01:09:14,67,2022-03-23
01:09:19,68,2022-03-23
01:09:24,67,2022-03-23
01:09:34,66,2022-03-23
01:09:39,67,2022-03-23
01:09:44,69,2022-03-23
01:09:59,70,2022-03-23
